"Crop","Season","Area-2016-17","Area-2017-18","Area-2018-19","Area-2019-20","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26"
"Groundnut","Total","53.38","48.88","47.31","48.25","60.15","57.05","49.61","47.07","57.62","53.51"
"Castorseed","Kharif","8.08","8.24","7.51","10.46","8.87","8.31","10.19","10.41","9.65","10.40"
"Castorseed","Total","8.08","8.24","7.51","10.46","8.87","8.31","10.19","10.41","9.65","10.40"
"Sesamum","Kharif","16.67","15.80","14.20","16.23","17.23","16.27","10.43","10.08","10.39","9.57"
"Sesamum","Rabi","","","","","","","0.53","0.49","0.41","0.33"
"Sesamum","Summer","","","","","","","4.27","4.74","4.96",""
"Sesamum","Total","16.67","15.80","14.20","16.23","17.23","16.27","15.23","15.31","15.76","9.90"
"Nigerseed","Kharif","2.56","2.18","1.56","1.36","1.34","0.97","0.88","0.83","1.01","0.86"
"Nigerseed","Total","2.56","2.18","1.56","1.36","1.34","0.97","0.88","0.83","1.01","0.86"
"Soybean","Kharif","111.83","103.29","111.31","121.93","129.18","121.47","130.84","132.55","129.52","123.73"
"Soybean","Total","111.83","103.29","111.31","121.93","129.18","121.47","130.84","132.55","129.52","123.73"
"Sunflower","Kharif","1.73","1.35","1.18","1.25","0.99","1.38","2.18","0.67","0.78","0.87"
"Sunflower","Rabi","2.08","1.48","1.44","1.03","1.27","1.33","1.10","0.53","0.81","0.78"
"Sunflower","Summer","","","","","","","0.36","0.32","0.35",""
"Sunflower","Total","3.81","2.84","2.62","2.28","2.26","2.71","3.64","1.51","1.94","1.65"
"Rapeseed & Mustard","Rabi","60.74","59.77","61.24","68.56","67.00","79.91","88.52","91.83","86.57","91.55"
"Rapeseed & Mustard","Total","60.74","59.77","61.24","68.56","67.00","79.91","88.52","91.83","86.57","91.55"
"Linseed","Rabi","3.25","3.26","1.73","1.80","1.75","1.97","2.39","1.75","1.69","1.98"
"Linseed","Total","3.25","3.26","1.73","1.80","1.75","1.97","2.39","1.75","1.69","1.98"
"Safflower","Rabi","1.44","0.82","0.46","0.52","0.56","0.79","1.09","0.65","0.64","0.71"
"Safflower","Total","1.44","0.82","0.46","0.52","0.56","0.79","1.09","0.65","0.64","0.71"
"Total Oil Seeds","Kharif","186.67","172.28","177.09","192.84","209.33","197.53","197.15","194.98","201.40","195.45"
"Total Oil Seeds","Rabi","75.11","72.79","70.85","78.56","79.01","91.92","97.83","98.68","93.49","98.83"
"Total Oil Seeds","Summer","","","","","","","7.41","8.27","9.51",""
"Total Oil Seeds","Total","261.77","245.08","247.94","271.39","288.34","289.45","302.39","301.92","304.40","294.29"
"Sugarcane","Kharif","44.36","47.37","50.61","46.03","48.51","51.75","58.85","57.40","54.50","58.51"
"Sugarcane","Total","44.36","47.37","50.61","46.03","48.51","51.75","58.85","57.40","54.50","58.51"
"Cotton","Kharif","108.26","125.86","126.14","134.77","132.86","123.72","129.27","126.88","114.84","114.82"
"Cotton","Total","108.26","125.86","126.14","134.77","132.86","123.72","129.27","126.88","114.84","114.82"
"Jute","Kharif","7.06","6.86","6.65","6.28","6.22","6.29","6.19","5.98","5.44","5.19"
"Jute","Total","7.06","6.86","6.65","6.28","6.22","6.29","6.19","5.98","5.44","5.19"
"Mesta","Kharif","0.57","0.56","0.40","0.45","0.41","0.38","0.39","0.39","0.30","0.23"
"Mesta","Total","0.57","0.56","0.40","0.45","0.41","0.38","0.39","0.39","0.30","0.23"
"Jute & Mesta","Kharif","7.63","7.42","7.05","6.73","6.62","6.67","6.58","6.37","5.74","5.42"
"Jute & Mesta","Total","7.63","7.42","7.05","6.73","6.62","6.67","6.58","6.37","5.74","5.42"
"Tobacco","Kharif","","","","","","3.86","3.79","4.10","4.91",""
"Tobacco","Total","","","","","","3.86","3.79","4.10","4.91",""
"Sannhemp","Kharif","","","","","","0.13","0.12","0.09","0.08",""
"Sannhemp","Total","","","","","","0.13","0.12","0.09","0.08",""
"Guarseed","Kharif","","","","","","26.30","32.13","30.89","32.22",""
"Guarseed","Total","","","","","","26.30","32.13","30.89","32.22",""
